Type,Categorie,Valeur,Actif,Priorite,Raison,Date Création,Impact
BLACKLIST,Titre,Stagiaire,TRUE,1,Niveau insuffisant,01/11/2025,Négligeable
BLACKLIST,Titre,Stage,TRUE,1,Niveau insuffisant,01/11/2025,Négligeable
BLACKLIST,Titre,Alternance,TRUE,1,Niveau insuffisant,01/11/2025,Négligeable
BLACKLIST,Titre,Apprenti,TRUE,1,Niveau insuffisant,01/11/2025,Négligeable
BLACKLIST,Titre,Junior,TRUE,1,Niveau insuffisant,02/11/2025,Négligeable
BLACKLIST,Titre,Débutant,TRUE,1,Niveau insuffisant,02/11/2025,Négligeable
BLACKLIST,Titre,Assistant,TRUE,2,Niveau insuffisant (Sauf Assistant Direction - Risqué),03/11/2025,Faible
BLACKLIST,Titre,Technicien,TRUE,1,Trop opérationnel (Tu es Directeur),04/11/2025,Négligeable
BLACKLIST,Titre,Agent,TRUE,1,Niveau insuffisant,04/11/2025,Négligeable
BLACKLIST,Titre,Vendeur,TRUE,1,Niveau insuffisant,05/11/2025,Négligeable
BLACKLIST,Titre,Commercial,TRUE,2,Trop opérationnel (Sauf Dir. Co.),06/11/2025,Faible
BLACKLIST,Titre,Infirmier,TRUE,1,Bruit secteur santé (Ton historique),07/11/2025,Négligeable
BLACKLIST,Titre,Médecin,TRUE,1,Bruit secteur santé,07/11/2025,Négligeable
BLACKLIST,Titre,Aide-soignant,TRUE,1,Bruit secteur santé,08/11/2025,Négligeable
BLACKLIST,Titre,Développeur,TRUE,2,Trop opérationnel (Tu diriges la tech),09/11/2025,Faible
BLACKLIST,Titre,Cuisinier,TRUE,1,Bruit secteur restauration (Ton historique),10/11/2025,Négligeable
BLACKLIST,Titre,Serveur,TRUE,1,Bruit secteur restauration,10/11/2025,Négligeable
BLACKLIST,Titre,Chauffeur,TRUE,1,Bruit logistique,11/11/2025,Négligeable
PENALTY,Description,"""Devenir franchisé""",TRUE,-19,Arnaque temps (Faux poste),12/11/2025,Élevé
PENALTY,Description,"""Apport personnel""",TRUE,-17,Indicateur de franchise,12/11/2025,Élevé
BLACKLIST,Description,"""Droit d'entrée""",TRUE,10,Indicateur de franchise,12/11/2025,Élevé
BLACKLIST,Description,"""Ouvrir votre agence""",TRUE,10,Indicateur de franchise,13/11/2025,Élevé
BLACKLIST,Description,"""Indépendant""",TRUE,5,Souvent synonyme de VRP sans fixe,14/11/2025,Modéré
BLACKLIST,Description,"""Commissions non plafonnées""",TRUE,5,Indicateur de poste précaire,15/11/2025,Modéré
BLACKLIST,Description,"""Mandataire""",TRUE,5,Statut non salarié,16/11/2025,Modéré
BLACKLIST,Entreprise,Midas,TRUE,5,Franchise auto,17/11/2025,Modéré
BLACKLIST,Entreprise,Norauto,TRUE,5,Franchise auto,17/11/2025,Modéré
BLACKLIST,Entreprise,Temporis,TRUE,5,Franchise intérim,18/11/2025,Modéré
BLACKLIST,Entreprise,Proman,TRUE,5,Intérim générique,18/11/2025,Modéré
BLACKLIST,Entreprise,Kangourou Kids,TRUE,5,Service à la personne (Franchise),19/11/2025,Modéré
BLACKLIST,Entreprise,Shiva,TRUE,5,Service à la personne (Franchise),19/11/2025,Modéré
BLACKLIST,Entreprise,Babychou,TRUE,5,Service à la personne (Franchise),20/11/2025,Modéré
BLACKLIST,Entreprise,IAD France,TRUE,5,Immobilier MLM,21/11/2025,Modéré
BLACKLIST,Entreprise,Safti,TRUE,5,Immobilier MLM,21/11/2025,Modéré
BLACKLIST,Entreprise,Capifrance,TRUE,5,Immobilier MLM,22/11/2025,Modéré
WHITELIST,Entreprise,ADEME,TRUE,1,Cible institutionnelle Transition,23/11/2025,Fort
WHITELIST,Entreprise,AFD,TRUE,1,Cible institutionnelle Dév.,23/11/2025,Fort
WHITELIST,Entreprise,Expertise France,TRUE,1,Cible institutionnelle,24/11/2025,Fort
WHITELIST,Entreprise,Enabel,TRUE,1,Cible Prioritaire (Ton historique),24/11/2025,Fort
WHITELIST,Entreprise,GIZ,TRUE,1,Cible institutionnelle,25/11/2025,Fort
WHITELIST,Entreprise,ACTED,TRUE,1,ONG Cible,26/11/2025,Fort
WHITELIST,Entreprise,"""Action Contre la Faim""",TRUE,1,ONG Cible,26/11/2025,Fort
WHITELIST,Entreprise,"""Solidarités International""",TRUE,1,ONG Cible,27/11/2025,Fort
BONUS,Entreprise,"""Croix-Rouge""",TRUE,13,ONG Cible,27/11/2025,Fort
WHITELIST,Entreprise,"""Médecins Sans Frontières""",TRUE,1,ONG Cible,28/11/2025,Fort
WHITELIST,Description,"""Bailleurs de fonds""",TRUE,5,Marqueur fort de ton profil,29/11/2025,Modéré
WHITELIST,Description,"""Union Européenne""",TRUE,5,Marqueur fort de ton profil,29/11/2025,Modéré
WHITELIST,Description,"""Banque Mondiale""",TRUE,5,Marqueur fort de ton profil,30/11/2025,Modéré
BONUS,Description,"""Agroécologie""",TRUE,20,Expertise clé,01/12/2025,Très Fort
BONUS,Description,"""Lombricompostage""",TRUE,30,Niche expertise absolue (Imisiba/Vers la Terre),02/12/2025,Maximal
BONUS,Description,"""Sols vivants""",TRUE,20,Expertise technique,03/12/2025,Très Fort
BONUS,Description,"""Afrique""",TRUE,15,Zone géographique expertise,04/12/2025,Fort
BONUS,Description,"""Burundi""",TRUE,50,Expertise géographique rare,05/12/2025,Maximal
BONUS,Description,"""Grands Lacs""",TRUE,20,Zone géographique expertise,06/12/2025,Très Fort
BONUS,Description,"""Systèmes d'Information""",TRUE,10,Double compétence Tech,07/12/2025,Fort
BONUS,Description,10 ans d'expérience,TRUE,27,Profil senior,19/12/2025,
BONUS,Description,15 ans d'expérience,TRUE,22,Profil très senior,19/12/2025,
BLACKLIST,Description,20h/semaine,TRUE,2,Temps partiel,19/12/2025,
WHITELIST,Entreprise,ACF,TRUE,1,ONG humanitaire,19/12/2025,
WHITELIST,Entreprise,ACTED,TRUE,1,ONG développement urgence,19/12/2025,
WHITELIST,Entreprise,Action contre la Faim,TRUE,1,ONG humanitaire,19/12/2025,
BLACKLIST,Entreprise,Actual,TRUE,2,Interim,19/12/2025,
BLACKLIST,Entreprise,Adecco,TRUE,2,Interim (sauf postes internes),19/12/2025,
WHITELIST,Entreprise,ADEME,TRUE,1,Agence transition écologique,19/12/2025,
PENALTY,Titre,adjoint,TRUE,-5,Niveau N-1 (sauf directeur adjoint),19/12/2025,
PENALTY,Description,adjoint,TRUE,-5,Niveau N-1 (sauf directeur adjoint),20/12/2025,
BLACKLIST,Titre,administrateur réseau,TRUE,1,Tech - hors compétence cible,19/12/2025,
BLACKLIST,Titre,administrateur système,TRUE,1,Tech - hors compétence cible,19/12/2025,
BONUS,Titre,advocacy,TRUE,12,Plaidoyer (EN),19/12/2025,
BONUS,Description,advocacy,TRUE,12,Plaidoyer (EN),20/12/2025,
WHITELIST,Entreprise,AFD,TRUE,1,Agence Française Développement,19/12/2025,
